repository,full_name,family,live_exact_name,private,archived,updated_at,action,sources,historical_states,unified_source_state,helix_admitted,has_solidify_record,url
Qwen3-Coder,GlacierEQ/Qwen3-Coder,Alibaba / Qwen,False,,,,RECOVER_LINEAGE,unified_deserving;historical_company_catalog,reference_or_upstream,reference,False,True,
github-mcp-server,GlacierEQ/github-mcp-server,GitHub,False,,,,RECOVER_LINEAGE,unified_deserving;historical_company_catalog,reference_or_upstream,reference,False,True,
google_workspace_mcp,GlacierEQ/google_workspace_mcp,Google / DeepMind,False,,,,RECOVER_LINEAGE,unified_deserving;historical_company_catalog,unprocessed,needs_work,False,True,
browser-operator-core,GlacierEQ/browser-operator-core,Microsoft,False,,,,RECOVER_LINEAGE,unified_deserving;historical_company_catalog,unprocessed,needs_work,False,True,
Z-BACKUP-ollama-notion-apex-orchestrator,GlacierEQ/Z-BACKUP-ollama-notion-apex-orchestrator,Notion,False,,,,RECOVER_LINEAGE,unified_deserving;historical_company_catalog,unprocessed,needs_work,False,True,
Z-BACKUP-apex-pplx-cli,GlacierEQ/Z-BACKUP-apex-pplx-cli,Perplexity,False,,,,RECOVER_LINEAGE,unified_deserving;historical_company_catalog,unprocessed,needs_work,False,True,
grok-build,GlacierEQ/grok-build,SpaceX,False,,,,RECOVER_LINEAGE,unified_deserving;historical_company_catalog,historical_or_cross_company,historical,False,True,
supabase,GlacierEQ/supabase,Supabase,False,,,,RECOVER_LINEAGE,unified_deserving;historical_company_catalog,reference_or_upstream,reference,False,True,
adobe-creative-provenance-gate,GlacierEQ/adobe-creative-provenance-gate,Adobe,True,False,False,2026-08-31T06:22:20Z,ADVANCE_ENGINEERING,excellence_pack,,,,,https://github.com/GlacierEQ/adobe-creative-provenance-gate
qwen-vl-flash-router,GlacierEQ/qwen-vl-flash-router,Alibaba / Qwen,True,False,False,2026-08-22T08:57:15Z,ADVANCE_ENGINEERING,unified_deserving;historical_company_catalog,current_preparation,in_preparation,True,True,https://github.com/GlacierEQ/qwen-vl-flash-router
aws-trainium-neuron-sentinel,GlacierEQ/aws-trainium-neuron-sentinel,Amazon Web Services,True,False,False,2026-08-31T05:04:25Z,ADVANCE_ENGINEERING,unified_deserving;historical_company_catalog,current_preparation,in_preparation,True,True,https://github.com/GlacierEQ/aws-trainium-neuron-sentinel
amd-hetero-placement-contract,GlacierEQ/amd-hetero-placement-contract,AMD,True,False,False,2026-08-31T06:22:39Z,ADVANCE_ENGINEERING,excellence_pack,,,,,https://github.com/GlacierEQ/amd-hetero-placement-contract
anduril-lattice-dissent-freeze,GlacierEQ/anduril-lattice-dissent-freeze,Anduril,True,False,False,2026-08-29T20:57:35Z,ADVANCE_ENGINEERING,excellence_pack,,,,,https://github.com/GlacierEQ/anduril-lattice-dissent-freeze
anduril-sensor-health-quorum,GlacierEQ/anduril-sensor-health-quorum,Anduril,True,False,False,2026-08-31T06:26:35Z,ADVANCE_ENGINEERING,excellence_pack,,,,,https://github.com/GlacierEQ/anduril-sensor-health-quorum
anduril-track-envelope-compiler,GlacierEQ/anduril-track-envelope-compiler,Anduril,True,False,False,2026-08-29T20:57:58Z,ADVANCE_ENGINEERING,excellence_pack,,,,,https://github.com/GlacierEQ/anduril-track-envelope-compiler
anthropic-agent-coordinator,GlacierEQ/anthropic-agent-coordinator,Anthropic,True,False,False,2026-08-31T04:54:52Z,ADVANCE_ENGINEERING,unified_deserving;historical_company_catalog,current_preparation,in_preparation,True,True,https://github.com/GlacierEQ/anthropic-agent-coordinator
anthropic-constitutional-tool-transcript,GlacierEQ/anthropic-constitutional-tool-transcript,Anthropic,True,False,False,2026-08-11T05:40:49Z,ADVANCE_ENGINEERING,excellence_pack,,,,,https://github.com/GlacierEQ/anthropic-constitutional-tool-transcript
anthropic-refusal-replay-harness,GlacierEQ/anthropic-refusal-replay-harness,Anthropic,True,False,False,2026-08-29T20:57:48Z,ADVANCE_ENGINEERING,excellence_pack,,,,,https://github.com/GlacierEQ/anthropic-refusal-replay-harness
anthropic-safety-monitor,GlacierEQ/anthropic-safety-monitor,Anthropic,True,False,False,2026-08-31T04:47:24Z,ADVANCE_ENGINEERING,unified_deserving;historical_company_catalog,current_preparation,in_preparation,True,True,https://github.com/GlacierEQ/anthropic-safety-monitor
apple-ane-kv-quantizer,GlacierEQ/apple-ane-kv-quantizer,Apple,True,False,False,2026-08-31T05:03:32Z,ADVANCE_ENGINEERING,unified_deserving;historical_company_catalog,current_preparation,in_preparation,True,True,https://github.com/GlacierEQ/apple-ane-kv-quantizer
atlassian-workgraph-intent-twin,GlacierEQ/atlassian-workgraph-intent-twin,Atlassian,True,False,False,2026-08-31T06:22:46Z,ADVANCE_ENGINEERING,excellence_pack,,,,,https://github.com/GlacierEQ/atlassian-workgraph-intent-twin
baseten-serving-slo-circuit,GlacierEQ/baseten-serving-slo-circuit,Baseten,True,False,False,2026-08-31T06:23:20Z,ADVANCE_ENGINEERING,excellence_pack,,,,,https://github.com/GlacierEQ/baseten-serving-slo-circuit
blue-origin-cryo-telemetry-half-life,GlacierEQ/blue-origin-cryo-telemetry-half-life,Blue Origin,True,False,False,2026-08-31T06:22:41Z,ADVANCE_ENGINEERING,excellence_pack,,,,,https://github.com/GlacierEQ/blue-origin-cryo-telemetry-half-life
cerebras-wafer-batch-admission-gate,GlacierEQ/cerebras-wafer-batch-admission-gate,Cerebras,True,False,False,2026-08-31T06:22:46Z,ADVANCE_ENGINEERING,excellence_pack,,,,,https://github.com/GlacierEQ/cerebras-wafer-batch-admission-gate
cloudflare-bot-intent-receipt,GlacierEQ/cloudflare-bot-intent-receipt,Cloudflare,True,False,False,2026-08-29T20:57:48Z,ADVANCE_ENGINEERING,excellence_pack,,,,,https://github.com/GlacierEQ/cloudflare-bot-intent-receipt
