## RECOVER_LINEAGE
[ ] GlacierEQ/Qwen3-Coder | Alibaba / Qwen | MISSING-NAME
[ ] GlacierEQ/github-mcp-server | GitHub | MISSING-NAME
[ ] GlacierEQ/google_workspace_mcp | Google / DeepMind | MISSING-NAME
[ ] GlacierEQ/browser-operator-core | Microsoft | MISSING-NAME
[ ] GlacierEQ/Z-BACKUP-ollama-notion-apex-orchestrator | Notion | MISSING-NAME
[ ] GlacierEQ/Z-BACKUP-apex-pplx-cli | Perplexity | MISSING-NAME
[ ] GlacierEQ/grok-build | SpaceX | MISSING-NAME
[ ] GlacierEQ/supabase | Supabase | MISSING-NAME

## ADVANCE_ENGINEERING
[ ] GlacierEQ/adobe-creative-provenance-gate | Adobe | LIVE
[ ] GlacierEQ/qwen-vl-flash-router | Alibaba / Qwen | LIVE
[ ] GlacierEQ/aws-trainium-neuron-sentinel | Amazon Web Services | LIVE
[ ] GlacierEQ/amd-hetero-placement-contract | AMD | LIVE
[ ] GlacierEQ/anduril-lattice-dissent-freeze | Anduril | LIVE
[ ] GlacierEQ/anduril-sensor-health-quorum | Anduril | LIVE
[ ] GlacierEQ/anduril-track-envelope-compiler | Anduril | LIVE
[ ] GlacierEQ/anthropic-agent-coordinator | Anthropic | LIVE
[ ] GlacierEQ/anthropic-constitutional-tool-transcript | Anthropic | LIVE
[ ] GlacierEQ/anthropic-refusal-replay-harness | Anthropic | LIVE
[ ] GlacierEQ/anthropic-safety-monitor | Anthropic | LIVE
[ ] GlacierEQ/apple-ane-kv-quantizer | Apple | LIVE
[ ] GlacierEQ/atlassian-workgraph-intent-twin | Atlassian | LIVE
[ ] GlacierEQ/baseten-serving-slo-circuit | Baseten | LIVE
[ ] GlacierEQ/blue-origin-cryo-telemetry-half-life | Blue Origin | LIVE
[ ] GlacierEQ/cerebras-wafer-batch-admission-gate | Cerebras | LIVE
[ ] GlacierEQ/cloudflare-bot-intent-receipt | Cloudflare | LIVE
[ ] GlacierEQ/cloudflare-edge-cap-mint | Cloudflare | LIVE
[ ] GlacierEQ/cloudflare-workers-agent-cap | Cloudflare | LIVE
[ ] GlacierEQ/cognition-execution-checkpoint-lattice | Cognition | LIVE
[ ] GlacierEQ/cohere-retrieval-claim-fence | Cohere | LIVE
[ ] GlacierEQ/comet-browser-agent-bridge | Comet / Perplexity Browser | LIVE
[ ] GlacierEQ/robotics-vla-torque-sentinel | Company-adjacent / assignment pending | LIVE
[ ] GlacierEQ/coreweave-rack-power-autopilot | CoreWeave | LIVE
[ ] GlacierEQ/crusoe-rack-to-token-autopilot | Crusoe | LIVE
[ ] GlacierEQ/cursor-patch-intent-twin | Cursor | LIVE
[ ] GlacierEQ/databricks-feature-lineage-passport | Databricks | LIVE
[ ] GlacierEQ/databricks-notebook-claim-fence | Databricks | LIVE
[ ] GlacierEQ/deepseek-mla-moe-sentinel | DeepSeek | LIVE
[ ] GlacierEQ/elastic-trajectory-index-layout | Elastic | LIVE
[ ] GlacierEQ/fireworks-ai-optimization-safety-envelope | Fireworks AI | LIVE
[ ] GlacierEQ/github-pr-authority-matrix | GitHub | LIVE
[ ] GlacierEQ/gitlab-pipeline-intent-contract | GitLab | LIVE
[ ] GlacierEQ/glaciereq-excellence-core | GlacierEQ Excellence Core | LIVE
[ ] GlacierEQ/colossus-gateway | GlacierEQ-core | LIVE
[ ] GlacierEQ/xai-colossus-2 | GlacierEQ-core | LIVE
[ ] GlacierEQ/glean-enterprise-search-claim-fence | Glean | LIVE
[ ] GlacierEQ/deepmind-tpu-mesh-optimizer | Google / DeepMind | LIVE
[ ] GlacierEQ/groq-batch-admission-gate | Groq | LIVE
[ ] GlacierEQ/groq-jitter-envelope-contract | Groq | LIVE
[ ] GlacierEQ/hugging-face-model-card-provenance-seal | Hugging Face | LIVE
[ ] GlacierEQ/ibm-governed-tool-catalog | IBM | LIVE
[ ] GlacierEQ/intel-npu-placement-passport | Intel | LIVE
[ ] GlacierEQ/lambda-useful-gpu-minute-contract | Lambda | LIVE
[ ] GlacierEQ/linear-issue-intent-twin | Linear | LIVE
[ ] GlacierEQ/lockheed-dual-key-actuator-fence | Lockheed Martin | LIVE
[ ] GlacierEQ/lockheed-evidence-binding-gateway | Lockheed Martin | LIVE
[ ] GlacierEQ/lockheed-martin-mission-assurance-gateway | Lockheed Martin | LIVE
[ ] GlacierEQ/lockheed-mission-thread-isolator | Lockheed Martin | LIVE
[ ] GlacierEQ/lovable-design-app-synth | Lovable | LIVE
[ ] GlacierEQ/manus-autonomous-web-agent | Manus | LIVE
[ ] GlacierEQ/meta-llama-collective-sentinel | Meta | LIVE
[ ] GlacierEQ/microsoft-azure-ops | Microsoft | LIVE
[ ] GlacierEQ/microsoft-identity-zero-trust | Microsoft | LIVE
[ ] GlacierEQ/mistral-open-weight-eval-fence | Mistral | LIVE
[ ] GlacierEQ/modal-ephemeral-sandbox-receipt | Modal | LIVE
[ ] GlacierEQ/mongodb-operational-semantic-twin-index | MongoDB | LIVE
[ ] GlacierEQ/kimi-mooncake-kv-stream | Moonshot AI / Kimi | LIVE
